126380,202200
177380,202710

803000,808000,126380
813000,815000,126380
815000,817000,126380
623000,625000,126380
2420000,2434000,126380
1818000,1829000,126380
2123000,2125000,126380
2322000,2324000,126380
2523000,2525000,126380
2541000,2543000,126380
2631000,2633000,126380
2630000,2636000,126380
2132000,2134000,126380
2331000,2333000,126380
3777000,3779000,126380
879000,891000,202200
947000,949000,202200
762000,764000,202200
2461000,2472000,202200
2340000,2342000,202200
2144000,2146000,202200
2591000,2597000,202200
1958500,1960500,202200
2150000,2152000,202200
3327000,3329000,202200
4065000,4067000,202200
4155000,4157000,202200
5699000,5701000,202200
5824000,5826000,202200
803000,808000,177380
813000,815000,177380
815000,817000,177380
623000,625000,177380
2132000,2134000,177380
2331000,2333000,177380
2541000,2543000,177380
631500,635500,202710
879000,891000,202710
947000,949000,202710
2411000,2413000,202710
2340000,2342000,202710
2144000,2146000,202710
2591000,2597000,202710
1958500,1960500,202710
2150000,2152000,202710
3327000,3329000,202710
4065000,4067000,202710
4155000,4157000,202710
5699000,5701000,202710
5824000,5826000,202710
3777000,3779000,202710
